Date,DBO,GLD,SHY,SPY,TLT
2020-09-18,6.994603633880615,183.1999969482422,79.6042709350586,311.9996337890625,146.05255126953125
2020-09-21,6.804532527923584,179.52000427246094,79.59504699707031,308.5271911621094,146.79360961914062
2020-09-22,6.795029163360596,178.64999389648438,79.61345672607422,311.6693420410156,146.67762756347656
2020-09-23,6.7665181159973145,174.7899932861328,79.61345672607422,304.44146728515625,146.8740234375
2020-09-24,6.871057510375977,175.44000244140625,79.6042709350586,305.25286865234375,147.43655395507812
2020-09-25,6.8235392570495605,174.94000244140625,79.61345672607422,310.1878967285156,147.43655395507812
2020-09-28,6.918575286865234,176.6999969482422,79.62267303466797,315.33990478515625,147.0168914794922
2020-09-29,6.6809868812561035,178.19000244140625,79.61345672607422,313.62255859375,147.18646240234375
2020-09-30,6.833043098449707,177.1199951171875,79.62267303466797,316.0005187988281,145.7757568359375
2020-10-01,6.633469104766846,178.6999969482422,79.60425567626953,318.0291442871094,146.0161590576172
2020-10-02,6.37687349319458,178.5399932861328,79.61345672607422,315.0097351074219,145.47096252441406
2020-10-05,6.747511386871338,179.41000366210938,79.58582305908203,320.59576416015625,142.62857055664062
2020-10-06,6.852050304412842,177.3000030517578,79.58582305908203,316.03814697265625,143.3972625732422
2020-10-07,6.842546463012695,177.22000122070312,79.57661437988281,321.5393371582031,142.35145568847656
2020-10-08,7.013610363006592,177.85000610351562,79.57661437988281,324.3890075683594,143.12013244628906
2020-10-09,6.918575286865234,181.0800018310547,79.57661437988281,327.2858581542969,143.09335327148438
2020-10-12,6.7665181159973145,180.55999755859375,79.59503173828125,332.55108642578125,143.54920959472656
2020-10-13,6.871057510375977,177.72000122070312,79.58582305908203,330.3808288574219,144.57713317871094
2020-10-14,6.985099792480469,178.27000427246094,79.58582305908203,328.3048400878906,144.90785217285156
2020-10-15,6.9755964279174805,178.9199981689453,79.60425567626953,327.8991394042969,144.6575469970703
2020-10-16,6.918575286865234,178.3000030517578,79.59503173828125,327.70098876953125,144.2553253173828
2020-10-19,6.880560874938965,178.38999938964844,79.59503173828125,322.7188720703125,143.71014404296875
2020-10-20,7.004106521606445,179.25,79.58582305908203,324.0115966796875,142.34254455566406
2020-10-21,6.776021957397461,180.60000610351562,79.58582305908203,323.39825439453125,141.85092163085938
2020-10-22,6.86155366897583,178.8300018310547,79.55821990966797,325.1721496582031,140.37608337402344
2020-10-23,6.728504180908203,178.63999938964844,79.5674057006836,326.2762145996094,141.2342071533203
2020-10-26,6.547936916351318,178.5500030517578,79.57661437988281,320.24664306640625,142.5481719970703
2020-10-27,6.671483039855957,179.02000427246094,79.57661437988281,319.14263916015625,143.50454711914062
2020-10-28,6.348362445831299,176.1300048828125,79.57661437988281,308.2346496582031,143.6385955810547
2020-10-29,6.186802864074707,175.39999389648438,79.59503173828125,311.3674011230469,142.2442626953125
2020-10-30,6.10127067565918,176.1999969482422,79.58582305908203,308.1214294433594,140.84092712402344
2020-11-02,6.348362445831299,177.91000366210938,79.58490753173828,311.57501220703125,141.8958740234375
2020-11-03,6.443398475646973,178.9199981689453,79.56647491455078,317.076171875,141.0726318359375
2020-11-04,6.633469104766846,178.82000732421875,79.58490753173828,324.1624755859375,144.13284301757812
2020-11-05,6.547936916351318,182.92999267578125,79.56647491455078,330.484619140625,144.3833770751953
2020-11-06,6.386376857757568,183.19000244140625,79.57569122314453,330.4091491699219,142.63851928710938
